,Description,Classificació
485,"AJUDES PER A EMPRESES I AUTÒNOMS 1La Conselleria d'Economia Sostenible ha rebut vora 16.000 consultes sobre dubtes laborals i de tràmits en el telèfon que va posar en marxa per la Covid19. En les últimes setmanes s'han aprovat molts canvis normatius i diverses ajudes a les empreses i autònoms pel coronavirus. En repassem les més importants i els terminis.El termini acaba hui dilluns, 4 de maig TELÈFON DE DUBTES PEL coronavirus: 900 35 31 35",MEDICINA I SANITAT | TREBALL
486,"XICOTETS COMERÇOS EN FASE 0 1Una vegada feta la reserva, es pot passar per l'establiment. Ací es prenen les mesures d'higiene necessàries per a garantir la seguretat de comerciants i clientela.talltall donaTot i que la fase zero permet esta obertura, a Castelló hui molts comerços han apujat la persiana només per a netejar i condicionar els locals.tall dona comerçMolts s'estimen més esperar la setmana que ve per a obrir, quan previsiblement passarem a la fase 1, i per això la Federació de Comerciants considera que estos primers dies seran de transició.tall federació comerciantsAl carrer la gent ja té ganes que esta desescalada cap a l'nomenada 'nova normalitat' incloga poder comprar sense restriccions, però sempre seguint totes les normes de seguretat. ","ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT"
487,"ASSISTÈNCIA XABOLISME VALÈNCIA1Militars de Bétera subministra aigua potable a poblats de València que no tenen canalitzacions. 11.000 mil litres per a repartir en diferents assentaments de la ciutat on viuen unes 500 persones. L'estat d'alarma va tancar les fonts públiques i estes famílies es van quedar sense poder abastirse.En total, unes 500 persones que no tenen ni llum ni aigua. Una ajuda coordinada per la regidoria de Benestar Social i executada per l'Exèrcit.Tall veu Josefa Vargas viene la cruz roja si no nos morimos.Entre fustes i llandes viuen 19 persones al costat de les vies del tren.Speech.Comprovat que els bidons estan nets i plens, la cuba abandona el punt per a continuar repartint aigua. ",MEDICINA I SANITAT | SOCIETAT
488,"PLATÓ ELX CIUTAT ESPORTIVA 1L'Elx també ha començat hui els preparatius dela tornada dels futbolistes.Els jugadors estan citats demà per a ferse les proves diagnòstiques de la Covid19. Este matí hem vist moviment d'operaris a les instal·lacions. L'objectiu, deixarho tot llest per a començar els entrenaments individuals una vegada es coneguen els resultats de les analítiques. Recordem que el davanter franjaverd Jonathas va donar positiu per coronavirus fa unes setmanes.L'Elx adequa l'estadi",ESPORTS
489,"COMPAREIXENÇA CAMPOS1D' ""Irresponsable"", qualifica el ministre de Justícia l'actitud de l'oposició, que ha qüestionat les dades de defuncions oferides per les institucions sanitàries i de Justícia. Ho ha fet en la seua compareixença en la comissió de justícia del Congrés, on el PP i Vox havien demanat Juan Carlos Campo que presentara les dades de defuncions inscrites en els registres civils en estos mesos per a compararles amb les d'anys anteriors.",SOCIETAT | POLÍTICA
490,"CANTÓ I L'ASSEMBLEA DE CIUTADANS 1Ciutadans ha renovat el seu consell general, l'órgan polític més important de la formació amb 125 integrants.El nou consell està format íntegrament per persones de l'entorn d'Inés Arrimadas. No s'ha integrat el sector crític. Hi ha 17 valencians en este nou òrgan entre ells Toni Cantó, Fernando Giner i María Muñoz. Cantó ha aconseguit que la meitat de la representació de la Comunitat Valenciana siga afí al líder autonòmic.CIUTADANS TRIA NOU CONSELL GENERAL",POLÍTICA
491,"MONTERO AMB CCAA HISENDA 1Esta vesprada la ministra d'Hisenda, María Jesús Montero, explicarà a les comunitats autònomes per videoconferència els detalls del pla de reestructuració. El govern central injectarà 16.000 milions d'euros per a fer front a esta crisi. La Generalitat ha demanat que el criteri per a repartir estos diners siga el nombre d'habitants, mentre que altres comunitats reclamen que siga l'impacte de la Covid19.Esta vesprada la ministra d'Hisenda, María Jesús Montero, n'explicarà els detalls a les comunitat autonòmes en una videoconferència.El president de la Generalitat, Ximo Puig, ha demanat que el criteri per al repartiment siga el nombre de habitantsTALL: PUIG TALL: RevillaAltres comunitats reclamen que el criteri siga l'impacte del coronavirus i recuperar competències ja.TALL: Page TALL: BudóEn la reunió d'esta vesprada, el conseller d'Hisenda, Vicent Soler, reclamarà un repartiment just en funció de criteris poblacionals i ha recordat l'infrafinaçament que patix la Comunitat Valenciana.TALL: SolerPer a reactivar l'economia valenciana, entre altres mesures, la Generalitat proposa un pla integral per al turisme i la flexibilització dels ERTO. ","ECONOMIA, COMERÇ I FINANCES"
492,VTR FALS DIRECTE EVA FONTETA curt,ESPORTS
493,"SITUACIÓ DELS MALALTS MENTALS1Les persones amb problemes de salut mental són altres dels gran damnificats per esta epidèmia. L'ermergència sanitària ha obilgat a desviar part dels seus recursos sanitàris directes, ja de per si escasos, a atendre les necessitats derivades de la Covid19. Els afectats demanen que s'aprofite la tornada a una nova normalitat per a redissenyar el sistema i adaptarlo a les seues necessitats reals.",MEDICINA I SANITAT | SOCIETAT
494,"VEHICLE COMPARTIT FASE CERO 1El Ministeri de Transports modifica l'orde sobre el nombre d'ocupants per vehicle en esta fase 0 de desconfinament. Pot anar més d'una persona en el mateix cotxe al lloc de faena, sempre que es mantinguen les distàncies de seguretat i que es viatge amb la mascareta posada. Abans només podien compartir vehicle els membres d'una mateixa família. La mesura afavorix sectors com el dels collidors del camp.",MEDICINA I SANITAT | TRANSPORTS I COMUNICACIONS
495,"VTR VAIXELL CONFINAT CARIBEl coronavirus també s'ha creuat en l'esperit aventurer d'alguns. És el cas d'una parella de navegants, formada per un vilarealenc i una sevillana, que des de fa dos mesos estan confinats en un vaixell al mar Carib.La pandèmia ha frenat en sec l'aventura de fer la volta al món en veler.",ESPORTS
496,"EDUCACIÓ AULES INFANTIL1I en el pròxim curs escolar també hi haurà més aules gratuïtes per als xiquets de 2 anys.La Conselleria d'Educació ha anunciat que obrirà 31 noves aules en escoletes infantils i col·legis, que en total sumaran 834 en tota la Comunitat Valenciana. Una dotzena d'estes noves classes estaran en centres ubicats en entorns rurals, que augmentaran a 79 aules l'oferta municipal en el cicle de 2 anys.31 noves aules gratuïtes de 2 anys el pròxim curs",ENSENYAMENT
497,REPARTIMENT HISENDA1El president de la Generalitat ha reconegut hui que la destrucció de llocs de treball té molt a vore amb l'impacte que està tenint en el sector turístic que els recordem representa el 16% del PIB de l'economia de la Comunitat Valenciana. Ximo Puig ha demanat hui un pla espanyol de turisme que discrimine positivament el País Valencià. També demana a la Unió Europea que establisca unes rutes que marquen les destinacions que són segures per als turistes,MEDICINA I SANITAT | TURISME
498,"RIBÓ MESURES EXTRAORDINÀRIES AMB ALTRES ALCALDES 1Reunió dels alcaldes de les ciutats més poblades d’Espanya. València i Alacant hi han estat. S’ha parlat sobre mesures de desescalada; en el rerefons, la proposta de la ministra d’Hisenda de fer una vidriola amb el superàvit de cada ciutat i ferlo comú per a tots. Una mesura que no agrada. ",MEDICINA I SANITAT | POLÍTICA
499,VTR FALSOS DIRECTES FUTBOL 1 okkk,ESPORTS | MEDICINA I SANITAT
500,"SEGUIMENT EDUCACIÓ NOVES RÀTIOS1Desconcert en una part de la comunitat educativa per les paraules de la ministra d'Educació d'ahir sobre la tornada a les aules al setembre. No s'ha concretat com s'organitzarà l'assistència de la meitat de l'alumnat a les aules i l'altra meitat a casa. Pares i mares troben impossible conciliar treball i educació telemàtica. En canvi, representants del professorat ho consideren una mesura raonable.",MEDICINA I SANITAT | ENSENYAMENT
501,RECURS CASSACIÓ CREU RIBALTA 1Torna la polèmica al voltant de la creu del Parc Ribalta de Castelló. L'Associació d'Advocats Cristians ha presentat un recurs de cassació contra la reanudació de l'expedient per a tombarla que va dictar el Tribunal Superior de Justícia de la Comunitat Valenciana al mes de març. Advocats Cristians vol demostrar que es tracta d'un símbol religiós i es basen en dos sentències dels tribunals superiors de justícia de Galícia i Navarra que van permetre mantindre estos monolits després de retirar els símbols franquistes. El Tribunal Suprem haurà de decidir si finalment admet a tràmit este recurs.AL·LEGUEN QUE ES TRACTA D'UN SÍMBOL RELIGIÓS,JUSTÍCIA I ORDRE  PÚBLIC
502,SUPORT DIRECTE MONCLOA 1 Miquel Mercader,MEDICINA I SANITAT | POLÍTICA
505,"PASTILLA NÚRIA SÁNCHEZ FUTBOL 1Mentrestant, el futbol femení, l'esport femení en general, continua parat i a l'espera de respostes. Sembla que guanya pes l'opció de no reprendre la competició a la Primera Iberdrola i donar per acabada esta atípica temporada.Una solució que no s'entén massa i que no acaba d'agradar les futbolistes, com és el cas de Nuria Sánchez, coneguda esportivament com a 'Mulán'. La castellonenca va penjar les botes l'any passat però es mostra molt crítica amb el que considera un pas arrere en la lluita per la igualtat.",ESPORTS
506,"JUNTA DE SÍNDICS 1Dilluns es reobriran les Corts.La junta de síndics ha acordat este matí reiniciar el període de sessions la pròxima setmana. Es farà en dies alterns, dilluns, dimecres i divendres per questions de seguretat sanitària. A més els síndics també han arribat a un acord perquè el pròxim divendres 15 de maig es constituïsca la comissió parlamentària que ha d'aconseguir un gran acord valencià per a la reconstrucció. Demà els grups parlamentaris negociaran els continguts i el pla de treball d'esta comissió.LES CORTS REOBRIN DILLUNS",MEDICINA I SANITAT | POLÍTICA
508,"PLATÓ IMATGE TORNADA VILLARREAL, LLEVANT, ELXBona vesprada. Segon dia d'esta setmana tan important per a l'esport professional, on s'està tornant a poc a poc a l'activitat.Ahir ja vam comprovar com a les ciutats esportives feien tasques de desinfecció, i hui ha tocat vore després de molt de temps les cares dels futbolistes del Villarreal, del Llevant i l'Elx que han acudit al seus llocs de treball però no per a entrenarse, sinó per a passar les proves de la Covid19 i descartar casos positius abans de tornar al'activitat, que haurà de ser, com ja sabem de manera individual.COMENCEN LES PRIMERES PROVES DE COVID19",ESPORTS
509,"PROPOSTA DE MEDICINA COMUNITÀRIA I FAMILIAR 1La Conselleria de Sanitat ultima una proposta per a la contractació de personal sanitari en l’atenció primària, que serà l'encarregada d'assumir la detecció i el seguiment dels casos de coronavius durant la desescalada. Precisament, les societats mèdiques han plantejat a les autoritat sanitàries un decàleg de propostes per a millorar l'atenció i garantir la màxima seguretat de pacients i professionals.",MEDICINA I SANITAT
510,"IMPACTE GRANS FESTIVALS A LA CV 1Més efectes d'esta crisi. Amb el bon oratge hauríem d'estar parlant dels nombrosos festivals de música que se celebren a la Comunitat Valenciana, però els promotors miren amb preocupació la desescalada. A hores d'ara no hi ha cancel·lacions oficials, però tots han gastat ja milions d'euros durant la preparació. Per això fan una crida al govern espanyol perquè pose llum a l'assumpte. En cas contrari, afirmen que la indústria s'ofegarà.",MEDICINA I SANITAT | MÚSICA
511,QUÈ PASSA AMB LES PISCINES COMUNITÀRIES 2Comença la desescalada i un dels dubtes que més preocupa en la gestió de les comunitats de veïns és què es farà a les piscines. El Consell General de Col·legis d'Administradors de Finques han enviat una carta a la Direcció General de Salut Pública demanant una regulació que establisca les condicions per a poder obrir amb total seguretat.,MEDICINA I SANITAT | SOCIETAT
513,"CICLISTES FERITS DES DE DIUMENGE1Canviem d'assumpte per a contarlos que des de dissabte, quan es van reprendre les pràctiques esportives,a la Comunitat Valenciana almenys 13 ciclistes han patit un accident. Segons els experts, les ganes d'eixir amb la bicicleta després de quasi dos mesos i la falta de costum dels conductors de compartir la carretera amb esportistes podrien ser la causa d'este repunt. Per això, demanen precaució i responsabilitat als ciclistes i conductors.13 CICLISTES FERITS DES DE DISSABTE",ACCIDENTS I CATÀSTROFES
514,"PLATÓ VCF Paterna 1A Paterna serà demà a primera hora quan la primera plantilla passe els tests de coronavirus.Serà la tercera prova dels valencianistes durant el confinament. Este matí el delegat de la Lliga ha estat revisant les instal·lacions de Paterna acompanyat dels membres dels serveis mèdics del club. Des de demà està previst que se sotmeten al test els 25 jugadors del primer equip i sis jugadors més del filial, tres d'ells centrals: Hugo Guillamón, Javi Jiménez i Guillem Molina.TOT A PUNT A LA CIUTAT ESPORTIVA DE PATERNA",ESPORTS | MEDICINA I SANITAT
